league,games,minutes,pts,offReb,defReb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm,totalSeasons,Position,firstSeason,lastSeason,careerEnded,yrsRetired2004,class
N,13,155,60,9,6,15,14,9,1,17,15,73,24,14,10,15,2,2,G,1991,1992,1,12,0
N,17,173,54,0,0,31,14,0,0,0,29,62,15,35,24,0,0,6,F,1951,1956,1,48,0
N,17,202,76,0,0,26,12,0,0,0,22,72,28,31,20,0,0,1,G,1971,1971,1,33,0
A,25,403,142,0,0,91,12,0,0,28,42,138,66,25,10,0,0,1,C,1967,1967,1,37,0
N,8,98,45,0,0,15,9,0,0,0,21,43,18,11,9,0,0,4,G,1965,1968,1,36,0
A,310,9077,4245,0,37,566,1557,13,4,450,787,3624,1531,916,774,1121,409,7,G,1967,1973,1,31,0
N,829,32131,14053,62,312,12942,2732,28,24,0,2387,11441,5709,3365,2635,0,0,11,F,1963,1973,1,31,1
N,489,4490,8003,0,0,1379,587,0,0,0,1774,9338,2824,3075,2355,0,0,8,F,1946,1953,1,51,1
A,223,4811,2047,0,0,1381,219,0,0,278,693,1872,815,597,415,11,2,3,F,1967,1969,1,35,0
N,34,424,132,0,0,56,47,0,0,0,60,158,54,27,24,0,0,1,G,1957,1957,1,47,0
N,142,3397,1042,0,0,548,566,0,0,0,453,1169,382,464,278,0,0,3,G,1952,1954,1,50,0
N,586,10613,4081,310,720,1030,1851,548,59,854,1091,3880,1578,934,775,492,150,9,G,1977,1985,1,19,0
N,182,3392,1264,48,350,398,178,49,85,142,281,1231,489,173,129,432,157,3,F,2002,2004,0,0,0
N,274,4531,1742,74,242,316,867,127,4,266,289,1525,598,471,373,530,173,7,G,1984,1990,1,14,0
N,48,771,346,68,86,154,46,36,17,47,107,281,125,131,96,2,0,2,F,1992,1993,1,11,0
A,2,11,2,0,0,3,0,0,0,0,3,3,1,0,0,0,0,5,C,1969,1973,1,31,0
N,122,1028,417,57,74,131,46,28,25,47,115,414,172,77,60,41,13,3,F,1990,1992,1,12,0
N,60,598,134,8,59,67,111,19,2,55,75,103,43,31,24,63,24,3,G,1997,1999,1,5,0
N,693,12916,5124,516,1299,1815,1419,472,134,801,1511,4328,2065,1248,961,98,33,9,G,1977,1985,1,19,0
N,146,0,537,0,0,0,97,0,0,0,178,781,207,178,123,0,0,3,G,1946,1948,1,56,0
N,13,89,45,4,4,8,6,2,0,2,12,40,19,6,4,3,3,1,F,1992,1992,1,12,0
N,44,370,159,0,0,82,9,0,0,0,47,166,65,46,29,0,0,1,C,1969,1969,1,35,0
N,443,8379,4036,467,850,1317,904,486,250,718,677,3399,1420,1560,1168,124,28,11,G,1985,1995,1,9,0
N,2,12,2,0,1,1,2,0,0,2,0,2,0,2,2,1,0,1,G,1988,1988,1,16,0
N,561,17436,8810,1479,3104,4583,799,494,812,1195,1870,7164,3542,2541,1719,53,7,10,F,1995,2004,0,0,0
A,277,3592,1647,0,363,438,392,85,10,302,373,1404,658,364,284,139,47,6,G,1972,1977,1,27,0
A,81,1513,589,0,0,227,150,0,0,97,136,461,203,270,182,5,1,6,G,1963,1968,1,36,0
N,131,1644,822,0,0,412,72,0,0,0,198,787,314,261,194,0,0,3,F,1962,1964,1,40,0
N,11,33,14,0,0,4,4,0,0,0,5,11,6,2,2,0,0,1,G,1964,1964,1,40,0
N,7,16,12,1,0,1,1,4,0,3,1,9,4,4,3,1,1,1,F,1986,1986,1,18,0
N,290,7669,4461,240,429,669,701,265,27,596,751,3369,1705,946,796,583,255,4,G,1989,1992,1,12,1
N,49,581,261,12,19,31,59,20,2,47,57,249,111,54,39,6,0,1,G,1987,1987,1,17,0
N,852,28327,18787,1818,5502,8048,1951,751,1147,1223,2726,14751,7420,5229,3944,37,3,14,C,1972,1985,1,19,1
N,229,3118,1135,70,218,288,401,119,21,194,382,958,417,332,291,42,10,8,G,1977,1984,1,20,0
N,518,9697,2734,857,1477,2334,707,306,215,569,1307,2351,1085,786,563,18,1,9,F,1979,1987,1,17,0
A,21,415,181,0,105,105,20,12,16,34,58,186,81,30,19,1,0,1,C,1974,1974,1,30,0
N,315,9943,3342,435,1044,1479,548,415,304,354,810,2686,1200,820,618,855,324,4,F,2001,2004,0,0,0
N,598,7036,5859,0,0,2294,940,0,0,0,1843,6211,2180,2211,1499,0,0,10,C,1946,1955,1,49,0
N,263,4254,1495,248,338,586,409,102,34,275,418,1264,585,421,310,46,15,5,F,1978,1982,1,22,0
N,698,22529,7871,0,0,5617,2962,0,0,0,2688,6883,2964,2556,1943,0,0,11,G,1955,1965,1,39,1
N,1086,37537,22195,2615,4062,6677,6125,2207,719,2977,3285,17673,8335,5962,4698,2603,827,15,G,1983,1997,1,7,1
N,156,2222,1140,94,104,198,186,65,19,148,256,1013,409,362,220,312,102,4,G,1994,1997,1,7,0
N,66,479,130,37,55,92,21,13,9,28,52,138,46,51,33,20,5,2,F,1995,1996,1,8,0
N,627,21964,14034,725,2484,3209,2788,912,400,1780,1674,10830,4890,4374,3635,1861,619,9,G,1996,2004,0,0,0
N,31,187,122,23,34,57,6,4,1,0,21,114,56,13,10,0,0,2,F,1973,1974,1,30,0
N,1274,35356,15586,709,3163,3872,7160,1583,179,2666,2203,11734,5428,4107,3433,3360,1297,17,G,1985,2001,1,3,0
A,46,609,234,0,0,180,30,0,0,63,92,219,98,67,38,2,0,1,F,1968,1968,1,36,0
N,255,4303,1481,0,0,533,555,0,0,0,503,1482,564,496,353,0,0,4,G,1967,1970,1,34,0
N,157,2641,923,127,428,555,109,53,170,249,336,754,389,250,145,4,0,5,C,1992,1996,1,8,0
N,840,19804,6663,680,2240,2920,1084,874,204,835,1983,5272,2274,1906,1430,1856,685,12,F,1993,2004,0,0,0
N,145,1393,386,123,272,395,38,45,68,104,183,323,158,118,70,3,0,5,F,2000,2004,0,0,0
N,191,2966,757,0,0,418,363,0,0,0,501,663,251,463,255,0,0,4,G,1951,1954,1,50,0
N,5,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1,F,1946,1946,1,58,0
N,361,6814,3137,234,312,546,683,321,43,479,792,2717,1290,638,503,176,54,6,G,1980,1985,1,19,0
N,222,3801,1187,102,265,367,845,196,11,358,472,1050,493,238,176,92,25,3,G,1985,1987,1,17,0
N,81,0,335,0,0,0,88,0,0,0,205,377,119,147,97,0,0,2,F,1948,1949,1,55,0
N,345,6778,2434,0,0,1206,715,0,0,0,670,2337,848,974,738,0,0,7,G,1953,1959,1,45,0
A,259,6953,3530,0,0,1480,333,0,0,146,747,3089,1370,827,646,446,144,4,F,1968,1971,1,33,0
N,987,19780,9176,1151,2233,3384,1086,361,925,1187,3063,7286,3663,2364,1844,46,6,16,F,1984,1999,1,5,0
A,328,11730,5978,0,988,1324,1413,356,49,896,1013,4216,2123,2020,1732,5,0,10,G,1972,1981,1,23,0
N,489,16565,6960,524,1515,2039,3622,691,123,1317,1252,5563,2499,2293,1872,412,90,6,G,1999,2004,0,0,0
N,24,0,124,0,0,47,22,0,0,0,68,142,40,56,44,0,0,1,F,1950,1950,1,54,0
N,348,7811,3091,0,0,2567,315,0,0,0,987,3131,1213,990,665,0,0,5,C,1957,1961,1,43,0
N,520,13430,4890,390,1157,1547,3866,1017,116,1163,1325,4343,1998,1123,800,374,94,10,G,1980,1989,1,15,0
N,59,0,336,0,0,0,97,0,0,0,112,422,116,143,104,0,0,2,G,1948,1949,1,55,0
N,73,725,316,0,0,114,93,0,0,0,135,341,134,59,48,0,0,1,G,1970,1970,1,34,0
N,83,1117,258,99,179,278,64,14,46,70,200,228,96,89,66,1,0,2,C,2003,2004,0,0,0
